Route_completion,Vehicles_collisions_number,Pedestrians_collisions_number,Statics_collisions_number,Stop_violations_number,Light_violations_number,Speed_limit_violations_number,Vehicle_got_blocked,Off_road_event_time
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,2,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,1,0,1.0
1,0,0,0,0,0,5,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,3,0,1.0
1,0,0,0,0,0,0,0,1.0
0.49,0,0,31,0,0,1,1,0.47
1,0,0,0,0,0,1,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,1,0,1.0
0.19,0,0,31,0,0,1,1,1.0
1,0,0,0,0,0,1,0,1.0
1,1,0,0,0,0,2,0,1.0
1,0,0,0,0,0,2,0,1.0
1,0,0,0,0,0,3,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,1,0,0,0,0.92
1,0,0,0,0,0,4,0,0.94
1,0,0,0,0,0,4,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,1,0,0,0,1.0
1,0,0,0,0,0,1,0,0.98
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,5,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,1,0,1.0
1,0,0,0,0,0,0,0,0.98
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,8,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,0,0,0.99
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,1,0,0,0,1.0
1,0,0,0,0,0,4,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,0,0,0,0,1.0
1,0,0,0,1,0,3,0,1.0
